Software Name,Aliases,Normalized Name
mitre_Ninja,,ninja
mitre_Nltest,,nltest
mitre_NotPetya,"Diskcoder.C, ExPetr, GoldenEye, Nyetya, Petrwrap",notpetya
mitre_OLDBAIT,Sasfis,oldbait
mitre_OSInfo,,osinfo
mitre_OSX/Shlayer,"Crossrider, Zshlayer",osx/shlayer
mitre_OSX_OCEANLOTUS.D,Backdoor.MacOS.OCEANLOTUS.F,osx oceanlotus.d
mitre_ObliqueRAT,,obliquerat
mitre_OceanSalt,,oceansalt
mitre_Octopus,,octopus
mitre_Okrum,,okrum
mitre_Olympic Destroyer,,olympic destroyer
mitre_OnionDuke,,onionduke
mitre_OopsIE,,oopsie
mitre_Orz,AIRBREAK,orz
mitre_Out1,,out1
mitre_OutSteel,,outsteel
mitre_OwaAuth,,owaauth
mitre_P.A.S. Webshell,Fobushell,p.a.s. webshell
mitre_P2P ZeuS,"Gameover ZeuS, Peer-to-Peer ZeuS",p2p zeus
mitre_P8RAT,"GreetCake, HEAVYPOT",p8rat
mitre_PACEMAKER,,pacemaker
mitre_PHOREAL,,phoreal
mitre_PITSTOP,,pitstop
mitre_PLAINTEE,,plaintee
mitre_PLEAD,,plead
mitre_POORAIM,,pooraim
mitre_POSHSPY,,poshspy
mitre_POWERSOURCE,DNSMessenger,powersource
mitre_POWERSTATS,Powermud,powerstats
mitre_POWERTON,,powerton
mitre_POWRUNER,,powruner
mitre_PS1,,ps1
mitre_PULSECHECK,,pulsecheck
mitre_PUNCHBUGGY,ShellTea,punchbuggy
mitre_PUNCHTRACK,PSVC,punchtrack
mitre_Pacu,,pacu
mitre_Pandora,,pandora
mitre_Pasam,,pasam
mitre_Pass-The-Hash Toolkit,,pass-the-hash toolkit
mitre_Pay2Key,,pay2key
mitre_PcShare,,pcshare
mitre_Pcexter,,pcexter
mitre_Peirates,,peirates
mitre_Penquin,"Penquin 2.0, Penquin_x64",penquin
mitre_Peppy,,peppy
mitre_Pikabot,,pikabot
mitre_Pillowmint,,pillowmint
mitre_PinchDuke,,pinchduke
mitre_Ping,,ping
mitre_PingPull,,pingpull
mitre_PipeMon,,pipemon
mitre_Pisloader,,pisloader
mitre_Playcrypt,Play,playcrypt
mitre_PlugX,"DestroyRAT, Kaba, Korplug, Sogu, TVT, Thoper",plugx
mitre_PoetRAT,,poetrat
mitre_PoisonIvy,"Breut, Darkmoon, Poison Ivy",poisonivy
mitre_PolyglotDuke,,polyglotduke
mitre_Pony,,pony
mitre_PoshC2,,poshc2
mitre_PowGoop,,powgoop
mitre_Power Loader,,power loader
mitre_PowerDuke,,powerduke
mitre_PowerLess,,powerless
mitre_PowerPunch,,powerpunch
mitre_PowerShower,,powershower
mitre_PowerSploit,,powersploit
mitre_PowerStallion,,powerstallion
mitre_Prestige,,prestige
mitre_Prikormka,,prikormka
mitre_ProLock,,prolock
mitre_Proton,,proton
mitre_Proxysvc,,proxysvc
mitre_PsExec,,psexec
mitre_Psylo,,psylo
mitre_Pteranodon,Pterodo,pteranodon
mitre_Pupy,,pupy
mitre_PyDCrypt,,pydcrypt
mitre_Pysa,Mespinoza,pysa
mitre_QUADAGENT,,quadagent
mitre_QUIETCANARY,Tunnus,quietcanary
mitre_QUIETEXIT,,quietexit
mitre_QakBot,"Pinkslipbot, QBot, QuackBot",qakbot
mitre_QuasarRAT,xRAT,quasarrat
mitre_QuietSieve,,quietsieve
mitre_RAPIDPULSE,,rapidpulse
mitre_RARSTONE,,rarstone
mitre_RATANKBA,,ratankba
mitre_RCSession,,rcsession
mitre_RDAT,,rdat
mitre_RDFSNIFFER,,rdfsniffer
mitre_REvil,"Sodin, Sodinokibi",revil
mitre_RGDoor,,rgdoor
mitre_RIPTIDE,,riptide
mitre_ROADSWEEP,,roadsweep
mitre_ROADTools,,roadtools
mitre_ROCKBOOT,,rockboot
mitre_ROKRAT,,rokrat
mitre_RTM,Redaman,rtm
mitre_Raccoon Stealer,,raccoon stealer
mitre_Ragnar Locker,,ragnar locker
mitre_Raindrop,,raindrop
mitre_RainyDay,,rainyday
mitre_Ramsay,,ramsay
mitre_Raspberry Robin,,raspberry robin
mitre_RawDisk,,rawdisk
mitre_RawPOS,"DRIFTWOOD, DUEBREW, FIENDCRY",rawpos
mitre_Rclone,,rclone
mitre_Reaver,,reaver
mitre_RedLeaves,BUGJUICE,redleaves
mitre_Reg,reg.exe,reg
mitre_RegDuke,,regduke
mitre_Regin,,regin
mitre_Remcos,,remcos
mitre_Remexi,,remexi
mitre_RemoteCMD,,remotecmd
mitre_RemoteUtilities,,remoteutilities
mitre_Remsec,"Backdoor.Remsec, ProjectSauron",remsec
mitre_Responder,,responder
mitre_Revenge RAT,,revenge rat
mitre_Rifdoor,,rifdoor
mitre_Rising Sun,,rising sun
mitre_RobbinHood,,robbinhood
mitre_RogueRobin,,roguerobin
mitre_RotaJakiro,,rotajakiro
mitre_Rover,,rover
mitre_Royal,,royal
mitre_Rubeus,,rubeus
mitre_Ruler,,ruler
mitre_RunningRAT,,runningrat
mitre_Ryuk,,ryuk
mitre_S-Type,,s-type
mitre_SDBbot,,sdbbot
mitre_SDelete,,sdelete
mitre_SEASHARPEE,,seasharpee
mitre_SHARPSTATS,,sharpstats
mitre_SHIPSHAPE,,shipshape
mitre_SHOTPUT,"Backdoor.APT.CookieCutter, Pirpi",shotput
mitre_SHUTTERSPEED,,shutterspeed
mitre_SILENTTRINITY,,silenttrinity
mitre_SLIGHTPULSE,,slightpulse
mitre_SLOTHFULMEDIA,"JackOfHearts, QueenOfClubs",slothfulmedia
mitre_SLOWDRIFT,,slowdrift
mitre_SLOWPULSE,,slowpulse
mitre_SMOKEDHAM,,smokedham
mitre_SNUGRIDE,,snugride
mitre_SOUNDBITE,,soundbite
mitre_SPACESHIP,,spaceship
mitre_SQLRat,,sqlrat
mitre_STARWHALE,CANOPY,starwhale
mitre_STEADYPULSE,,steadypulse
mitre_SUGARDUMP,,sugardump
mitre_SUGARUSH,,sugarush
mitre_SUNBURST,Solorigate,sunburst
mitre_SUNSPOT,,sunspot
mitre_SUPERNOVA,,supernova
mitre_SVCReady,,svcready
mitre_SYNful Knock,,synful knock
mitre_SYSCON,,syscon
mitre_Saint Bot,,saint bot
mitre_Sakula,"Sakurel, VIPER",sakula
mitre_SamSam,Samas,samsam
mitre_Samurai,,samurai
mitre_Sardonic,,sardonic
mitre_SeaDuke,"SeaDaddy, SeaDesk",seaduke
mitre_Seasalt,,seasalt
mitre_ServHelper,,servhelper
mitre_Seth-Locker,,seth-locker
mitre_ShadowPad,POISONPLUG.SHADOW,shadowpad
mitre_Shamoon,Disttrack,shamoon
mitre_Shark,,shark
mitre_SharpDisco,,sharpdisco
mitre_SharpStage,,sharpstage
mitre_ShimRat,,shimrat
mitre_ShimRatReporter,,shimratreporter
mitre_Sibot,,sibot
mitre_SideTwist,,sidetwist
mitre_Siloscape,,siloscape
mitre_Skeleton Key,,skeleton key
mitre_Skidmap,,skidmap
mitre_Sliver,,sliver
mitre_Small Sieve,GRAMDOOR,small sieve
mitre_Smoke Loader,Dofoil,smoke loader
mitre_Snip3,,snip3
mitre_SocGholish,FakeUpdates,socgholish
mitre_Socksbot,,socksbot
mitre_SodaMaster,"DARKTOWN, DelfsCake, dfls",sodamaster
mitre_SombRAT,,sombrat
mitre_SoreFang,,sorefang
mitre_Spark,,spark
mitre_SpeakUp,,speakup
mitre_Spica,,spica
mitre_SpicyOmelette,,spicyomelette
mitre_Squirrelwaffle,,squirrelwaffle
mitre_SslMM,,sslmm
mitre_Starloader,,starloader
mitre_StoneDrill,DROPSHOT,stonedrill
mitre_StreamEx,,streamex
mitre_StrifeWater,,strifewater
mitre_StrongPity,,strongpity
mitre_Stuxnet,W32.Stuxnet,stuxnet
mitre_Sykipot,,sykipot
mitre_SynAck,,synack
mitre_Sys10,,sys10
mitre_SysUpdate,"FOCUSFJORD, HyperSSL, Soldier",sysupdate
mitre_Systeminfo,,systeminfo
mitre_T9000,,t9000
mitre_TAINTEDSCRIBE,,taintedscribe
mitre_TDTESS,,tdtess
mitre_TEARDROP,,teardrop
mitre_TEXTMATE,DNSMessenger,textmate
mitre_TINYTYPHON,,tinytyphon
mitre_TSCookie,,tscookie
mitre_TURNEDUP,,turnedup
mitre_TYPEFRAME,,typeframe
mitre_Taidoor,,taidoor
mitre_TajMahal,,tajmahal
mitre_Tarrask,,tarrask
mitre_Tasklist,,tasklist
mitre_ThiefQuest,"EvilQuest, MacRansom.K",thiefquest
mitre_ThreatNeedle,,threatneedle
mitre_TinyTurla,,tinyturla
mitre_TinyZBot,,tinyzbot
mitre_Tomiris,,tomiris
mitre_Tor,,tor
mitre_Torisma,,torisma
mitre_TrailBlazer,,trailblazer
mitre_TrickBot,"TSPY_TRICKLOAD, Totbrick",trickbot
mitre_Trojan.Karagany,"Karagany, xFrost",karagany
mitre_Trojan.Mebromi,,mebromi
mitre_Truvasys,,truvasys
mitre_Turian,,turian
mitre_UACMe,,uacme
mitre_UBoatRAT,,uboatrat
mitre_UPPERCUT,ANEL,uppercut
mitre_USBStealer,"USB Stealer, Win32/USBStealer",usbstealer
mitre_USBferry,,usbferry
mitre_Umbreon,,umbreon
mitre_Unknown Logger,,unknown logger
mitre_Uroburos,Snake,uroburos
mitre_Ursnif,"Dreambot, Gozi-ISFB, PE_URSNIF",ursnif
mitre_VBShower,,vbshower
mitre_VERMIN,,vermin
mitre_VPNFilter,,vpnfilter
mitre_Valak,,valak
mitre_VaporRage,,vaporrage
mitre_Vasport,,vasport
mitre_VersaMem,,versamem
mitre_Volgmer,,volgmer
mitre_WARPWIRE,,warpwire
mitre_WEBC2,,webc2
mitre_WINDSHIELD,,windshield
mitre_WINERACK,,winerack
mitre_WIREFIRE,GIFTEDVISITOR,wirefire
mitre_WannaCry,"WCry, WanaCry, WanaCrypt, WanaCrypt0r",wannacry
mitre_WarzoneRAT,"Ave Maria, Warzone",warzonerat
mitre_WastedLocker,,wastedlocker
mitre_Waterbear,,waterbear
mitre_WellMail,,wellmail
mitre_WellMess,,wellmess
mitre_Wevtutil,,wevtutil
mitre_WhisperGate,,whispergate
mitre_Wiarp,,wiarp
mitre_WinMM,,winmm
mitre_WindTail,,windtail
mitre_Windows Credential Editor,WCE,windows credential editor
mitre_Winexe,,winexe
mitre_Wingbird,,wingbird
mitre_Winnti for Linux,,winnti for linux
mitre_Winnti for Windows,,winnti for windows
mitre_Wiper,,wiper
mitre_Woody RAT,,woody rat
mitre_XAgentOSX,OSX.Sofacy,xagentosx
mitre_XCSSET,OSX.DubRobber,xcsset
mitre_XTunnel,"Trojan.Shunnael, X-Tunnel, XAPS",xtunnel
mitre_Xbash,,xbash
mitre_YAHOYAH,,yahoyah
mitre_ZIPLINE,,zipline
mitre_ZLib,,zlib
mitre_Zebrocy,Zekapab,zebrocy
mitre_ZeroCleare,ZEROCLEAR,zerocleare
mitre_ZeroT,,zerot
mitre_Zeroaccess,,zeroaccess
mitre_Zeus Panda,,zeus panda
mitre_Zox,"Gresim, ZoxPNG, ZoxRPC",zox
mitre_ZxShell,Sensocode,zxshell
mitre_ZxxZ,,zxxz
mitre_adbupd,,adbupd
mitre_at,at.exe,at
mitre_build_downer,,build downer
mitre_ccf32,,ccf32
mitre_certutil,certutil.exe,certutil
mitre_cmd,cmd.exe,cmd
